Raw_Frame,Manual_Hamming_Windowed
-3.4666298720509303e-09,-2.773303897640745e-10
4.712575885079673e-10,3.772748472253049e-11
-3.3714013802921272e-09,-2.704811989527983e-10
-5.948040282532929e-09,-4.788958754513089e-10
5.229392030514646e-09,4.231219224777526e-10
-9.21775100692912e-09,-7.505566626755384e-10
-8.865594924856168e-10,-7.274374413724218e-11
3.525029823592263e-09,2.9184387588046825e-10
-5.6442743812112894e-09,-4.721176884435277e-10
3.0577156362454616e-09,2.587197742287746e-10
2.2779036434883437e-09,1.951974992584621e-10
-6.93486068570337e-09,-6.025284453784928e-10
-1.5521051111022643e-09,-1.3687803192273582e-10
4.565349431828736e-09,4.0907953656718693e-10
-4.113298590624481e-09,-3.7485997165418685e-10
-9.400976885842738e-09,-8.72159912570366e-10
-5.098422128924085e-09,-4.819227046432669e-10
-3.12459813578414e-09,-3.0116415046282074e-10
-1.6629645438470675e-09,-1.635624710896086e-10
-1.5604650016598498e-08,-1.567276577114173e-09
-4.623247562562938e-09,-4.744656842579145e-10
4.164874667367258e-09,4.369955962159713e-10
-1.5677041886874576e-08,-1.6826163463559342e-09
-7.777551935816973e-10,-8.543108074208045e-11
-4.1308316767185715e-09,-4.6456573940881983e-10
-7.808060864533672e-09,-8.994017495281297e-10
-4.692380706217136e-09,-5.537951861797576e-10
-2.083968553279192e-09,-2.52068378230729e-10
-1.9019008590248632e-08,-2.3582753990726205e-09
-5.223423027445051e-09,-6.640988409205687e-10
1.2664062687406386e-08,1.6511902624952028e-09
-1.4193313191412926e-08,-1.89808319970894e-09
-6.210009395601901e-09,-8.518793025459387e-10
2.2991499815105954e-09,3.2355002427680653e-10
-1.955137207687585e-08,-2.8226794777619675e-09
-1.834036567061048e-08,-2.716521261336455e-09
-4.248366547443538e-09,-6.455769836585413e-10
-1.4586110985703726e-08,-2.2739293936513806e-09
-7.822747782881834e-09,-1.251093334396922e-09
-1.1485052908710713e-09,-1.8842111477896474e-10
-9.82314851682986e-09,-1.653023932479193e-09
-1.3170517121352532e-08,-2.27311719998743e-09
-7.973175897291185e-09,-1.4112151835533502e-09
-5.892193843948235e-09,-1.0693707649416881e-09
-1.1521797960156732e-09,-2.1438880088637562e-10
-1.2583401876042899e-08,-2.4001965225917536e-09
-5.351540988129955e-09,-1.0462282359309648e-09
-1.3194851877784686e-09,-2.643497641014703e-10
-5.305403671940212e-09,-1.0890406051883936e-09
-1.427025164701945e-09,-3.00074914340596e-10
1.0343921275079992e-08,2.227788690436757e-09
-9.408379852970938e-09,-2.07496178423227e-09
5.531891389409793e-09,1.2490759244456694e-09
8.61821902731208e-09,1.9918842782660024e-09
-9.979775228430299e-09,-2.3605239131513003e-09
9.060284966722065e-09,2.192697468529065e-09
1.088090950673859e-08,2.6937549488824666e-09
8.675635321253594e-09,2.196624805651305e-09
2.2668829036120997e-09,5.868810824663057e-10
2.0449562043722835e-09,5.412219307748416e-10
-7.681283165084096e-09,-2.0777762477891368e-09
-1.9043766563697773e-11,-5.263737749677002e-12
1.0389238358499142e-09,2.9336201327665325e-10
-3.6253977597766607e-10,-1.0455786617807288e-10
1.1229049912131472e-09,3.3069443602030793e-10
8.009879870485292e-09,2.408211232756655e-09
3.445578711236408e-09,1.0573465178477359e-09
7.379449495914514e-09,2.310828432383872e-09
-1.46182959070984e-08,-4.67015410775339e-09
-1.4940280124164929e-09,-4.86840066090723e-10
1.6085277110278184e-08,5.345051610786233e-09
8.098630654984618e-10,2.743681851309408e-10
-2.056376180448183e-09,-7.1011213311674e-10
1.3091259631892171e-08,4.606932606100256e-09
-9.928628585953447e-09,-3.5598365546075703e-09
3.988087637907256e-10,1.4565341791160503e-10
-3.6914555856526476e-09,-1.3730115403223507e-09
-1.769063651124725e-08,-6.699563009464104e-09
3.428411554651234e-09,1.3216880247652033e-09
8.821079866550008e-09,3.4609702546113995e-09
-9.013883861541672e-09,-3.5986194586541873e-09
4.972422473770166e-09,2.019520319048511e-09
-1.0192039434642197e-09,-4.2102373976234276e-10
6.243756622836827e-10,2.62280767733835e-10
-2.600037518618592e-09,-1.1104153807065174e-09
-5.52209833415418e-09,-2.3972119224968688e-09
5.796709778849163e-09,2.5573610297086403e-09
-8.382914806759345e-09,-3.757735231983878e-09
-4.975719392064093e-09,-2.2657958862061645e-09
3.2237126301737362e-09,1.490969785135477e-09
-7.468705653934649e-10,-3.507680426657291e-10
-1.0512645864935166e-08,-5.012612083713432e-09
-3.7931298102478195e-09,-1.8358748939230582e-09
-7.980425209552777e-09,-3.919957392500335e-09
-1.768100688082086e-08,-8.812305773489672e-09
-1.1989662596079143e-08,-6.0622630422604005e-09
-8.561038100651785e-09,-4.390542413168044e-09
-1.9229084102789784e-08,-1.0000774573051957e-08
-1.0452705367924864e-10,-5.5119728843840163e-11
-1.16578267039813e-08,-6.231892908881553e-09
-2.1296818530913697e-08,-1.1538849234356978e-08
-1.5321059976258766e-08,-8.412091270446387e-09
-1.5922161367143417e-08,-8.857420003716535e-09
-1.3025845291281257e-08,-7.340480450923315e-09
-9.958219138184177e-09,-5.683783588386078e-09
-1.3834075218710495e-08,-7.995908701420686e-09
-6.399910823517985e-09,-3.745231155443089e-09
-1.9033475240348707e-08,-1.127549424325407e-08
1.6025594185009595e-09,9.608836607744086e-10
3.1257161303699377e-09,1.8965851482061295e-09
-9.85845360901294e-09,-6.052367745236639e-09
-1.7325652024169358e-08,-1.0760387938728038e-08
-8.04729349823674e-09,-5.055204281086309e-09
-1.3139656473981631e-08,-8.347427638441895e-09
-7.365499321565494e-09,-4.73129941616647e-09
-9.435054959539002e-10,-6.127207743276164e-10
-2.8573874377713082e-09,-1.8756772503172195e-09
-1.1793890308808841e-08,-7.824350069855272e-09
-1.261396764817846e-09,-8.456234639424187e-10
-1.2252481251806557e-09,-8.298811553560566e-10
-1.880428435185877e-08,-1.2866135708022014e-08
6.2163931779934956e-09,4.29598406372802e-09
-7.960807124618441e-09,-5.55581842320501e-09
-2.2502963048509628e-08,-1.5857392004620224e-08
-1.484182376998433e-08,-1.055881695787006e-08
-1.4902354905643733e-08,-1.07017328366201e-08
-1.581967445929422e-08,-1.1465781998925924e-08
3.023004069291346e-11,2.2109960484423254e-11
-6.969125720956981e-09,-5.142889840757404e-09
5.308820938410008e-09,3.952243571975739e-09
-1.2233766888414266e-08,-9.18670888866332e-09
-7.2669488204724075e-09,-5.503561421296783e-09
-1.6260784718724608e-08,-1.241833610666748e-08
-5.5960258649179195e-09,-4.308939915986798e-09
-6.6747722904381135e-09,-5.181255378199772e-09
-5.058454100037579e-09,-3.957888504259315e-09
-8.44483416528874e-09,-6.659226875523902e-09
-6.665488605506198e-09,-5.296533517953701e-09
-5.424847682178324e-09,-4.343249613824965e-09
-9.830358749240986e-10,-7.928753517371006e-10
9.531017752806292e-09,7.743267751729714e-09
5.542125425250788e-09,4.534738699543412e-09
5.25194820966135e-09,4.327420158175254e-09
-5.4948321448478055e-09,-4.558667120060519e-09
1.178524389189306e-08,9.843266984163172e-09
6.666689866818842e-09,5.6049391671685844e-09
-7.739534346740129e-09,-6.549052319629224e-09
-3.1444113979262056e-09,-2.6776220258558142e-09
1.1333649574396532e-09,9.71112533674898e-10
-7.2302990261619016e-09,-6.2328944003981706e-09
1.3735334647435593e-08,1.191106562841164e-08
6.800042307020249e-09,5.931236528866698e-09
7.804056068039245e-09,6.84574811467009e-09
1.0942054373686005e-08,9.65186432573399e-09
-7.220034570210032e-10,-6.403369532331433e-10
-3.618190191900794e-09,-3.225989940781825e-09
3.19494186662439e-09,2.863403274258812e-09
1.516158310010951e-09,1.3657080963800375e-09
-1.4380145962888946e-08,-1.3017166505456547e-08
-1.7704545607344357e-09,-1.6103639950339708e-09
6.807924890495087e-09,6.221378157953283e-09
4.098312800238091e-09,3.762324080109654e-09
-1.0683818274515033e-09,-9.851530830901473e-10
-5.254326307380097e-09,-4.865947971808537e-09
-1.7472209790092563e-10,-1.6248702865896477e-10
1.5165797506710987e-09,1.4161327988494228e-09
-9.304486070504936e-09,-8.722612629157238e-09
-1.053256948324588e-08,-9.91178250899157e-09
1.5283008192312764e-10,1.4435686514370784e-10
-6.003380903507605e-09,-5.690936612916682e-09
-6.155777221295011e-09,-5.855692120168954e-09
-4.928984775887102e-09,-4.704448222361095e-09
3.5193119529708383e-09,3.3698718273057e-09
1.5500585703875913e-08,1.4888700395168918e-08
-6.188682011298852e-09,-5.962229735661354e-09
-2.516981956190989e-09,-2.4318759272040567e-09
1.2410115601824145e-08,1.2023667285230813e-08
1.4571948092623188e-09,1.4155581132927009e-09
-1.0744668266227109e-08,-1.046408664804642e-08
5.068179209644086e-10,4.947751453790795e-10
-5.659194224350017e-10,-5.537421419044273e-10
-8.771616322178488e-09,-8.601599803360442e-09
-2.5395847647047276e-09,-2.495505903388751e-09
-2.3113382319195352e-09,-2.2756497190727658e-09
3.945124504856068e-10,3.8913336231751157e-10
-2.965791612297153e-09,-2.9303812247436914e-09
-2.9186397743075077e-09,-2.8884156608780666e-09
1.2295512386018004e-09,1.218629149918256e-09
1.4565706973890258e-10,1.4456139459317996e-10
-5.960146265415744e-11,-5.922753497184619e-11
-5.799274394036047e-09,-5.769478766437478e-09
-3.3941502941559065e-09,-3.3801846109185186e-09
-5.01429031629641e-09,-4.998222054424394e-09
-4.074181880753258e-09,-4.064372768692465e-09
-2.1812855965919198e-09,-2.1775245545147046e-09
-3.6015015414392337e-09,-3.5973436928530646e-09
1.9594506017739377e-09,1.9580819207462176e-09
-2.6675710529389107e-09,-2.6666202692939925e-09
-6.645931804882821e-09,-6.645078979756937e-09
-7.691756676031503e-10,-7.691647001677882e-10
-3.186352959261285e-09,-3.18630752605065e-09
-6.65804877897358e-09,-6.657194398962654e-09
-8.617310420788726e-09,-8.614239013261552e-09
5.1815356449935734e-09,5.177916329699103e-09
5.570442773716877e-09,5.564011828916621e-09
-3.2320598974955317e-10,-3.2264870769123154e-10
8.7032816509236e-09,8.68232739126871e-09
4.370875217318826e-09,4.356868775096379e-09
-2.0043140480652255e-09,-1.996067031086713e-09
1.1798997334722117e-09,1.173837621098577e-09
3.4758522726718866e-09,3.4540454691724794e-09
-1.375005387327377e-10,-1.3646621940252606e-10
5.381392220726866e-09,5.333589379144963e-09
1.717849862359344e-08,1.700060586152068e-08
7.230962051352208e-09,7.1446272031581945e-09
-1.1740508565338814e-10,-1.1580429382454982e-10
1.6783566536560102e-08,1.652441773623191e-08
1.4519651259092825e-08,1.4267637739756601e-08
7.969127580054192e-09,7.814665360160699e-09
1.2991975495424413e-08,1.2712418152130895e-08
6.810120467548586e-09,6.648301500406137e-09
-2.598429027500515e-09,-2.5305747761454125e-09
1.0673244510428503e-08,1.0368275927048031e-08
5.328725904973908e-09,5.1627905324410565e-09
1.588916020978104e-08,1.535190434028007e-08
1.3668001841438127e-08,1.3167871100391767e-08
1.1892843154726052e-08,1.1423373410539948e-08
1.6504616340284883e-08,1.5803782775967006e-08
6.141464670150754e-09,5.861694418600484e-09
1.1805274091614137e-08,1.1229784313110167e-08
1.4542289150654142e-08,1.3785439753576991e-08
1.3359533035384175e-08,1.2618852810285767e-08
1.6013412817983408e-08,1.5069586327536413e-08
1.981527830707819e-09,1.8576092811776968e-09
-2.952951660972758e-09,-2.7573701275319916e-09
6.488203307952745e-10,6.033861140119257e-10
5.822921256282143e-09,5.392514704922234e-09
-4.764384442523806e-10,-4.393230867446702e-10
1.380016656504779e-10,1.2668798480727754e-10
1.0523048210586694e-08,9.616419591208575e-09
9.201361450550394e-09,8.369342830867775e-09
4.1126639871436055e-09,3.722857336761551e-09
6.959574250231526e-09,6.268967322304603e-09
-5.085204257682108e-09,-4.557513447687919e-09
4.21270129891127e-09,3.756057944169816e-09
9.590393368341665e-09,8.505614772440903e-09
5.754888121600743e-09,5.076322732689652e-09
8.262198036845803e-09,7.2476320186124596e-09
1.7833400534073007e-08,1.5554920382246048e-08
1.4217584887177281e-09,1.2329265432225884e-09
2.676065147255713e-09,2.306907558190575e-09
8.000965223686762e-09,6.8555477732184164e-09
9.248664056826783e-09,7.87569546549569e-09
9.66821467329737e-09,8.181066314344955e-09
8.410308893758156e-09,7.070865852217138e-09
8.683353591720788e-09,7.25250733079827e-09
1.5720386770112782e-08,1.3042074515550548e-08
8.305516274731417e-09,6.843452584929986e-09
8.180955468617412e-09,6.693911183199529e-09
5.76384096007132e-09,4.682707029800471e-09
7.977297045158593e-09,6.434151959184415e-09
1.0784038551037156e-08,8.633932972189584e-09
1.4054700514520846e-08,1.116815236897513e-08
1.7862571866089638e-08,1.4085642927787938e-08
-1.1888132700477172e-09,-9.301636986679053e-10
2.123970688217014e-08,1.648720596390675e-08
-5.384937828978309e-09,-4.146402128313299e-09
-2.6275253084406813e-09,-2.0066370088165574e-09
1.0843743680766238e-08,8.212416360463129e-09
-1.2910907898344703e-09,-9.695194737016176e-10
-4.29243396382617e-09,-3.1955767087415202e-09
8.036733056826506e-09,5.9307342765451845e-09
-6.72140210156158e-09,-4.9159687337200035e-09
-2.8915581040678262e-09,-2.0957431800368655e-09
6.471238656047262e-09,4.647149236312915e-09
-5.201215902417289e-09,-3.700265379990095e-09
-7.932259293852439e-10,-5.589705890453429e-10
-6.478135805565444e-10,-4.5210674863963086e-10
-1.1852751669039208e-08,-8.191121575413872e-09
1.7162871124298817e-09,1.1743059448188645e-09
1.898100787656176e-09,1.285615576363437e-09
3.056530140099767e-09,2.04905678911331e-09
5.73715519536222e-10,3.8061665386250906e-10
7.990149875070074e-09,5.244980834304836e-09
-3.5435991918575382e-09,-2.3012445079045445e-09
4.5948063132073e-09,2.9515180815270415e-09
1.0956807905415644e-08,6.960696523525649e-09
-1.6725574258913412e-09,-1.0506786488626551e-09
-2.415343702821815e-09,-1.500089878953495e-09
-4.875583492491842e-09,-2.993250811890805e-09
-8.317268651580889e-09,-5.046654123502184e-09
4.293508215624797e-09,2.574358144956411e-09
-8.541904072956186e-09,-5.060252475431881e-09
5.573846273421168e-09,3.2618177494217486e-09
-3.251134472748163e-09,-1.879111831412964e-09
2.451125968860879e-09,1.3990121488146667e-09
4.1146246410050935e-09,2.3187225907251944e-09
1.5411716347557558e-08,8.57346195160138e-09
3.5737146575343104e-10,1.9621627955438355e-10
-6.284540887691037e-09,-3.4050329961236558e-09
9.94017135269587e-09,5.313690530738252e-09
-2.8261069040524944e-09,-1.4902768302748348e-09
3.844621954129934e-09,1.9995334814871258e-09
5.940495317879879e-10,3.046592754492248e-10
8.552991204169302e-09,4.324598967010966e-09
-5.899527533159699e-10,-2.9403552010218364e-10
8.686919628075884e-09,4.266985018965001e-09
-1.3767555984145474e-08,-6.663497335020418e-09
1.6770369537510987e-09,7.996403386178906e-10
-3.794008662794113e-09,-1.781857599119619e-09
-9.217878904621557e-09,-4.26327669569225e-09
-5.526555213464235e-09,-2.516630276122532e-09
-5.51057599551541e-09,-2.4701772646163734e-09
-4.28550350761725e-09,-1.8906552304979944e-09
6.536074348417742e-09,2.8373915867169885e-09
-9.588309701769049e-09,-4.094943435077297e-09
-6.7270899961613395e-09,-2.825840972651741e-09
-8.096749049002483e-09,-3.344692283019891e-09
3.3298697132977395e-11,1.3524071177102185e-11
1.5099708150501101e-09,6.028267548712224e-10
2.9171389748228194e-09,1.1445459482477222e-09
3.759503819367183e-09,1.4493275086462386e-09
-4.3974019980908e-09,-1.6653257074962986e-09
-7.289482795158619e-09,-2.7112730381028036e-09
-5.331952657172678e-10,-1.9473421829506093e-10
-8.156366249068014e-09,-2.9244049643751995e-09
-1.2786502523454146e-08,-4.4996858247146385e-09
2.9849442917395663e-09,1.0307672197310943e-09
-8.284480879083844e-10,-2.8066448272304047e-10
2.8199487189795036e-10,9.370538871900919e-11
1.5330601232932395e-09,4.995589677987044e-10
-6.055609347299651e-10,-1.9346050352222464e-10
-1.6471583208499396e-08,-5.157973210013834e-09
-1.1753595430263886e-08,-3.6068318973102397e-09
-8.002654539041032e-09,-2.406038900009373e-09
-1.0197576116866003e-08,-3.0031763231347566e-09
3.6606053743781786e-09,1.0557326732847842e-09
3.848914964521555e-09,1.0868221557348108e-09
7.228004861303816e-09,1.997835980399994e-09
-1.2892385825580277e-08,-3.487372157752083e-09
6.717058020910827e-09,1.7777491290185928e-09
-1.0813339557103063e-08,-2.7995025302084615e-09
1.5153691634850475e-08,3.836834273192273e-09
-1.0733758770697932e-08,-2.6573252714556156e-09
3.023289707471122e-08,7.316723163289515e-09
-2.4620856464707686e-08,-5.823590122715577e-09
-5.032174676955492e-10,-1.1630604412292558e-10
-6.9951804348988844e-09,-1.5794799379309218e-09
1.2641471869301313e-08,2.7880008497918546e-09
-1.758963641407263e-08,-3.788311224542119e-09
1.7555670694946457e-08,3.6916072051736216e-09
-8.02114108466867e-09,-1.646500225298503e-09
1.4734300890495433e-08,2.951915641554361e-09
9.882940688044073e-09,1.9321185476850603e-09
2.9781377364201944e-09,5.680590915850882e-10
-2.1814514639117988e-09,-4.059077976867401e-10
2.228401907444777e-09,4.044313400872346e-10
2.136318144607685e-08,3.781184112086553e-09
-2.9541823209910945e-08,-5.098662857251597e-09
3.444478835490372e-08,5.7963146339776245e-09
-1.4401244641248923e-08,-2.362634801142875e-09
3.3667685528371294e-08,5.384478461812293e-09
-3.402486825621054e-08,-5.3043712692674336e-09
4.4786400366092494e-08,6.805690830670967e-09
-3.7270485364615524e-08,-5.520395161779628e-09
4.935539266170963e-08,7.125558934447561e-09
-2.776115692881831e-08,-3.906714686081482e-09
5.5096052165026776e-08,7.55798961022804e-09
-3.675892656929136e-08,-4.9158008436479066e-09
4.77615991201219e-08,6.227344994649272e-09
-4.011962317918005e-08,-5.1007538756621955e-09
7.057287376710519e-08,8.750733312784423e-09
-6.609391078882254e-08,-7.994451200930865e-09
1.1042080672041266e-07,1.3031873380356603e-08
-1.5931563268622995e-07,-1.8351388552314237e-08
3.080573378611007e-07,3.464505362209291e-08
-7.163332043091941e-07,-7.868429593346544e-08
4.1337348193337675e-06,4.4367361066599556e-07
2.853717433026759e-06,2.9942364432919295e-07
-1.697443849479896e-06,-1.7420197526398486e-07
1.727202629808744e-06,1.7347420305805225e-07
-2.335166072953143e-06,-2.2967749655879547e-07
6.139354809420183e-06,5.917412400634535e-07
7.4657791628851555e-06,7.056945061562076e-07
-1.5627697393938433e-06,-1.449833496910215e-07
6.559077974088723e-07,5.977528081838603e-08
-1.1630666563178238e-07,-1.0421694458832653e-08
-5.571183692154591e-07,-4.913150880101169e-08
5.070533916295972e-06,4.405482757747521e-07
1.049062802849221e-06,8.989600427858871e-08
8.089049856607744e-07,6.844315827866135e-08
5.429908924270421e-06,4.5418700024914123e-07
-8.911488862395345e-07,-7.377989916739808e-08
5.8069167607754935e-06,4.7646759258964116e-07
8.047300070757046e-06,6.552525317852162e-07
4.433581580087775e-06,3.587311011838738e-07
-3.320485120639205e-06,-2.673429488097543e-07
8.001878995855805e-06,6.419757188587119e-07
5.981625690765213e-06,4.788712104960091e-07
-3.035835050013702e-07,-2.4286680400109623e-08
