MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-651.73425,1.0723246,1.071594,1.0703795,1.0686806,1.0664973,1.0638337,1.0606947,1.0570867,1.0529959,1.0484445,1.0434335,1.0379665
-582.1109,-12.026474,30.118572,-0.64949477,19.549923,2.0159874,-5.817148,-6.906616,6.9746447,15.885744,9.844816,10.561001,-0.75709206
-417.7456,-4.195248,24.948729,-0.31136078,15.034339,-3.653361,-15.959728,-9.210522,-4.0782313,14.844374,14.062461,13.846462,3.0112076
-305.4401,0.7564206,7.5431013,-5.071226,12.025617,-5.736315,-5.0645285,-0.29300934,-2.156996,2.1460392,3.5234787,5.113574,-0.5479083
-217.92421,27.01598,22.595608,13.546484,25.127365,0.6333842,-5.966478,-0.829498,3.091165,-1.9033161,2.0778573,0.81991875,-11.239479
-115.27515,84.815216,35.716125,35.623653,-1.7216898,-30.361526,-28.126984,-3.912325,4.70649,-12.196501,2.1039875,1.6094306,-19.592976
-54.187244,109.679054,11.278431,34.65583,-22.879114,-39.1905,-35.741814,7.1293144,15.151693,-24.491257,-1.1659287,5.762871,-24.317165
-20.6941,113.59274,-19.974491,13.714664,-19.884748,-24.60262,-33.879574,12.43574,22.862492,-28.56628,-4.4485555,12.491106,-16.130314
-21.336838,115.716156,-46.378376,-2.2795846,-7.1176844,-0.8933194,-37.376686,5.80156,17.033564,-24.180754,1.8277144,17.186216,-6.9553585
-57.927425,118.90804,-46.3846,0.48199517,12.234392,8.8480425,-43.991028,-1.2275453,6.7353725,-17.593971,8.498899,14.404279,-11.402365
-113.86545,115.627075,-39.59088,2.3962133,19.453007,6.009185,-40.708202,2.3163133,11.220552,-12.999181,3.0986667,6.898511,-20.002274
-145.8878,115.748535,-37.404503,2.2413886,12.933857,2.1686757,-33.546913,7.8779793,19.267937,-12.451855,-3.388704,12.340792,-16.715006
-162.49425,111.70943,-32.51336,-3.2457743,12.1793,-1.6618648,-34.380035,10.684303,21.035763,-11.8824215,-2.3704703,17.119415,-17.334501
-203.83939,109.42265,-36.49327,-8.983255,13.493996,5.6012893,-32.07965,8.984341,17.712416,-15.585984,-0.70507073,18.33655,-12.749666
-203.42604,40.17682,0.18751448,-17.914246,18.052967,12.003763,-35.532356,6.583731,2.1889777,-6.95286,3.3817897,7.3353343,1.4686859
-184.06688,-50.196556,36.615303,10.990623,7.0022993,28.269032,-19.391186,-13.028724,-4.005381,-2.574629,0.10345465,-0.8113905,-5.471114
-167.1224,-63.57067,37.777252,23.016357,1.2719578,21.773504,-18.269135,-16.025536,-0.68898004,-4.313628,-0.205504,2.060672,-10.038967
-179.59738,-45.77334,22.674156,26.916115,-4.2699113,17.492012,-12.090771,-12.652229,2.937039,-5.5395155,-1.0465658,10.039255,-6.0618143
-224.68723,-33.387886,10.2806835,27.526192,-4.646907,20.71986,-7.730121,-10.164341,4.2943487,0.070731476,2.0222476,11.3997,-0.46628043
-280.7897,-26.885654,17.717237,23.560154,-8.098373,18.231655,-9.859114,-11.420147,-0.6989507,-0.20010631,6.649573,12.122072,1.1823523
-313.83865,-35.78409,22.63315,24.674744,-6.3271217,20.381805,-11.342876,-6.65217,3.8766503,-0.28168774,4.4790297,9.596376,-0.063755274
-339.25488,-40.6928,19.230259,28.155775,-4.411098,24.449574,-10.552603,-1.5613904,8.599762,1.405299,6.198554,13.558531,0.83419716
-378.37524,-33.282784,14.357075,32.656322,-6.8288517,27.031403,-9.33161,-0.95078576,10.886579,5.7086377,5.7617707,12.846961,-1.7735445
-435.284,-20.337034,5.9335537,35.876266,-9.488761,23.644913,-0.71659017,-2.5313952,7.808864,6.9727015,10.294083,13.45436,-2.4262962
-512.33954,1.4624305,1.2197548,33.181038,-12.370001,16.45643,1.1007661,-5.9026756,0.21957731,8.018038,12.251805,11.640211,3.229303
-608.95105,21.391361,7.4282985,17.793238,-4.117614,7.2260356,10.184391,-5.0860286,-0.29443902,8.903541,10.896727,7.2420506,4.3054495
-642.8103,11.707998,9.597205,9.317398,7.7173195,6.375217,6.6731935,5.7886415,5.4569254,7.2677693,6.799115,4.626834,5.1843195
-648.29755,5.927107,5.9100556,5.8817663,5.8424244,5.7922935,5.731703,5.661054,5.5808,5.491475,5.3936343,5.2879043,5.1749396
-650.3111,3.0839834,3.0802374,3.0739944,3.0652685,3.0540671,3.0404072,3.0243008,3.0057788,2.9848447,2.9615445,2.9358969,2.9079387
-652.10144,0.5529678,0.5520538,0.55053055,0.54840297,0.5456692,0.5423373,0.53840923,0.53389776,0.52878886,0.5231094,0.5168591,0.5100483
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
